movie_name,month,year,ratings,user_vote,genres,country
Aquaman and the Lost Kingdom,12.0,2023.0,5.6,84000,Action Adventure Fantasy Sci-Fi,
Aquamarine,3.0,2006.0,5.4,45000,,
Ararat,11.0,2002.0,6.3,15000,,Canada France
Arbitrage,9.0,2012.0,6.6,55000,,
Arctic Dogs,11.0,2019.0,4.8,23000,Animation Adventure Comedy Family,
Are We There Yet?,1.0,2005.0,4.8,35000,,
"Are You There God? It’s Me, Margaret",5.0,2023.0,,,,
Argo,10.0,2012.0,7.7,640000,,
Argylle,1.0,2024.0,5.7,69000,Action Comedy Thriller,
Armored,12.0,2009.0,5.7,32000,,
Around the World in 80 Days,6.0,2004.0,5.9,95000,,
Arrietty,1.0,2012.0,,,,
Arrival,11.0,2016.0,7.9,773000,,
Arthur,4.0,2011.0,5.7,53000,,
Arthur Christmas,11.0,2011.0,7.1,67000,,
Arthur et les Minimoys,12.0,2006.0,,,,
Artificial Intelligence: AI,6.0,2001.0,,,,
"As Above, So Below",8.0,2014.0,6.2,112000,Horror Mystery Thriller,
Assassin's Creed,12.0,2016.0,5.6,209000,,United States France United Kingdom Hong Kong Taiwan Malta Spain Canada
Assassin’s Creed,12.0,2016.0,,,,
Assault On Precinct 13,4.0,2005.0,,,,
Assault on Precinct 13,1.0,2005.0,6.3,82000,,France United States
Astro Boy,10.0,2009.0,6.2,40000,,
Atlantis: The Lost Empire,6.0,2001.0,6.9,134000,,
Atlas Shrugged: Part I,4.0,2011.0,5.6,14000,,United States
Atomic Blonde,7.0,2017.0,6.7,207000,,
Atonement,12.0,2007.0,7.8,300000,,
Attack the Block,7.0,2011.0,6.7,111000,,
August Rush,11.0,2007.0,7.4,111000,,
August: Osage County,12.0,2013.0,7.2,95000,,
Austin Powers in Goldmember,7.0,2002.0,6.2,223000,,
Australia,11.0,2008.0,6.6,130000,,
Autumn in New York,8.0,2000.0,5.6,28000,Drama Romance,
Avatar,12.0,2009.0,7.9,14000000,,
Avengers: Age of Ultron,5.0,2015.0,7.3,923000,,
Avengers: Endgame,4.0,2019.0,8.4,13000000,,
Avengers: Infinity War,4.0,2018.0,8.4,12000000,,
Awake,11.0,2007.0,6.5,81000,,
Away We Go,6.0,2009.0,7.0,55000,,
Babel,10.0,2006.0,7.5,317000,,
Baby Boy,6.0,2001.0,6.4,17000,,United States
