movie_name,month,year,budget,runtime,genres,mpaa,screens,opening_week,domestic_box_office,international_box_office,worldwide_box_office,country
Katti Batti,9,2015,None,135,Comedy Drama Romance,None,127,239816,364932,3714203,4079135,
Suffragette,10,2015,None,106,Drama History,PG-13,517,76244,4702420,27269676,31972096,
Amy,7,2015,None,128,Biography Documentary Music,R,435,222500,8413144,15292905,23706049,
Coming Home,9,2015,None,109,Drama Romance,PG-13,55,26361,377607,47210377,47587984,
Talvar,10,2015,None,132,Crime Drama Mystery Thriller,None,51,144713,342370,6536728,6879098,
The Assassin,10,2015,None,105,Action Drama History,None,53,47892,632542,11359127,11991669,
Attack on Titan: Part 2,10,2015,None,87,Action Adventure Fantasy Horror Thriller,None,230,12861,305934,14880476,15186410,
Paper Towns,7,2015,12000000,109,Adventure Comedy Drama Mystery Romance,PG-13,3,031,12650140,32000304,53511996,85512300,
Remember,10,2015,None,94,Drama Mystery Thriller,R,43,27006,547009,2507927,3054936,
The Second Mother,8,2015,None,112,Comedy Drama,R,223,24086,376986,2626574,3003560,
We Are Your Friends,8,2015,None,96,Drama Music Romance,R,2,333,1767308,3591417,6757315,10348732,
Spy,6,2015,65000000,120,Action Comedy,R,3,715,29085719,110825712,124840507,235666219,
The Witness,10,2015,None,112,Action Crime Drama Mystery Thriller,None,40,194736,418063,33545494,33963557,
Unbranded,9,2015,None,106,Adventure Documentary Western,PG-13,80,141416,410185,2607,412792,
Rosenwald,8,2015,None,95,Biography Documentary,None,21,7902,433924,None,433924,
The Diary of a Teenage Girl,8,2015,None,102,Comedy Drama Romance,R,795,52334,1477002,298131,1775133,
Dope,6,2015,7000000,103,Adventure Comedy Crime Drama,R,2,002,6100010,17506470,480311,17986781,
Irrational Man,7,2015,None,95,Comedy Crime Drama Romance,R,925,175312,4030360,23360724,27391084,
Pyaar Ka Punchnama 2,10,2015,None,137,Comedy Drama Romance,None,49,107536,222856,12760865,12983721,
Taxi,10,2015,None,82,Comedy Drama,None,20,22531,321642,3584585,3906227,
To the Arctic 3D,4,2012,None,40,Documentary Short,G,52,270228,14560838,9134550,23695388,
Stonewall,9,2015,None,129,Drama History,R,129,112834,187674,104995,292669,
Assassination,8,2015,None,140,Action Drama Thriller,None,33,287700,1904682,94215091,96119773,
A Brilliant Young Mind,9,2015,None,111,Drama Romance,PG-13,18,31408,171793,871827,1043620,
Time Out of Mind,9,2015,None,120,Drama,None,18,18934,166775,147307,314082,
Hell and Back,10,2015,None,86,Adventure Animation Comedy Fantasy,R,411,104374,157768,None,157768,
Best of Enemies: Buckley vs. Vidal,7,2015,None,87,Biography Documentary History,R,69,50378,892802,None,892802,
The New Girlfriend,9,2015,None,108,Comedy Drama Romance,R,45,39035,146754,5069042,5215796,
Terminator Genisys,7,2015,155000000,126,Action Adventure Sci-Fi Thriller,PG-13,3,783,27018486,89760956,350842581,440603537,
Mississippi Grind,9,2015,None,108,Comedy Drama,R,46,12434,130541,292205,422746,
Tomorrowland,5,2015,190000000,130,Action Adventure Family Fantasy Mystery Sci-Fi,PG,3,972,33028165,93436322,115599346,209035668,
Love Live! The School Idol Movie,9,2015,None,99,Animation Comedy Drama Music Musical,None,28,115840,115840,21176169,21292009,
Experimenter,10,2015,None,98,Biography Drama History,PG-13,30,8682,155575,68570,224145,
A Matter of Faith,10,2014,None,89,Drama,PG,52,138677,680113,None,680113,
